quarter_id,quarter,product_type,state,product_id,total_orders,item_name,mrp,unit_price,discount,total_sales,total_volume,channel_type,discount_pct,avg_order_volume
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1889384,2,PanasWingChairInRoyalBlueColour,39375,19999,19376,119994.0,6.0,online,49.21,3.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1889387,1,PanasWingChairInVividOrangeColour,39375,19999,19376,159992.0,8.0,online,49.21,8.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1871366,1,MatrixErgonomicChairinBlackColour,15829,11999,3830,71994.0,6.0,online,24.2,6.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1951852,2,KimptonWingRoomChairinRedColour,28500,17699,10801,318582.0,18.0,online,37.9,9.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,2016768,1,ZodiacProHighBackErgonomicChairinTealWhite,23990,12990,11000,38970.0,3.0,online,45.85,3.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,2030560,1,BradleyWingChairsinSeaGreenColour,26500,15199,11301,30398.0,2.0,online,42.65,2.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1866839,1,JazzErgonomicChairinBlackColour,18999,11519,7480,23038.0,2.0,online,39.37,2.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1857131,1,YoshiErgonomicChairInBlackColour,15999,12749,3250,50996.0,4.0,online,20.31,4.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1958598,1,ZodiacProHighBackErgonomicChairinWhite&GreyColour,23618,12990,10628,51960.0,4.0,online,45.0,4.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1512679,1,CeceliaWingChairinRedColour,23699,17399,6300,17399.0,1.0,online,26.58,1.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,2036937,1,RegentWingChairinVelvetTealBlueColour,36175,23999,12176,143994.0,6.0,online,33.66,6.0
5.0,Q4-20,1 Seater Sofas,Andhra Pradesh,1889385,3,PanasWingChairInSeaGreenColour,39773,19999,19774,239988.0,12.0,online,49.72,4.0
5.0,Q4-20,1 Seater Sofas,Arunachal Pradesh,1866839,1,JazzErgonomicChairinBlackColour,18999,11519,7480,115190.0,10.0,online,39.37,10.0
5.0,Q4-20,1 Seater Sofas,Assam,2031587,1,DianeSuedeVelvetWingChair,31399,23299,8100,209691.0,9.0,online,25.8,9.0
5.0,Q4-20,1 Seater Sofas,Assam,1967345,1,TheBegumWingChairinBrownCoalColour,27995,20995,7000,167960.0,8.0,online,25.0,8.0
5.0,Q4-20,1 Seater Sofas,Assam,2016768,1,ZodiacProHighBackErgonomicChairinTealWhite,23990,12990,11000,51960.0,4.0,online,45.85,4.0
5.0,Q4-20,1 Seater Sofas,Assam,1889385,1,PanasWingChairInSeaGreenColour,39773,19999,19774,119994.0,6.0,online,49.72,6.0
5.0,Q4-20,1 Seater Sofas,Assam,2030560,1,BradleyWingChairsinSeaGreenColour,26500,15199,11301,15199.0,1.0,online,42.65,1.0
5.0,Q4-20,1 Seater Sofas,Assam,1866839,1,JazzErgonomicChairinBlackColour,18999,11519,7480,103671.0,9.0,online,39.37,9.0
5.0,Q4-20,1 Seater Sofas,Bihar,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,146965.0,7.0,online,25.0,7.0
5.0,Q4-20,1 Seater Sofas,Bihar,1889388,2,PanasWingChairInBoldYellowColour,35796,19999,15797,319984.0,16.0,online,44.13,8.0
5.0,Q4-20,1 Seater Sofas,Bihar,2030560,2,BradleyWingChairsinSeaGreenColour,26500,15199,11301,243184.0,16.0,online,42.65,8.0
5.0,Q4-20,1 Seater Sofas,Bihar,2031564,2,DianeWingChairinBrownColour,31399,23299,8100,279588.0,12.0,online,25.8,6.0
5.0,Q4-20,1 Seater Sofas,Chhattisgarh,1889384,1,PanasWingChairInRoyalBlueColour,39375,19999,19376,59997.0,3.0,online,49.21,3.0
5.0,Q4-20,1 Seater Sofas,Chhattisgarh,1753411,1,KimptonWingChairInMulticolour,28500,17699,10801,141592.0,8.0,online,37.9,8.0
5.0,Q4-20,1 Seater Sofas,Chhattisgarh,1889387,1,PanasWingChairInVividOrangeColour,39375,19999,19376,19999.0,1.0,online,49.21,1.0
5.0,Q4-20,1 Seater Sofas,Delhi,1967345,2,TheBegumWingChairinBrownCoalColour,27995,20995,7000,272935.0,13.0,online,25.0,6.5
5.0,Q4-20,1 Seater Sofas,Delhi,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,209950.0,10.0,online,25.0,10.0
5.0,Q4-20,1 Seater Sofas,Delhi,1889384,1,PanasWingChairInRoyalBlueColour,39375,19999,19376,139993.0,7.0,online,49.21,7.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1512681,1,CeceliaWingChairinLimeGreenColour,23699,17399,6300,86995.0,5.0,online,26.58,5.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,41990.0,2.0,online,25.0,2.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1871366,1,MatrixErgonomicChairinBlackColour,15829,11999,3830,95992.0,8.0,online,24.2,8.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1958598,1,ZodiacProHighBackErgonomicChairinWhite&GreyColour,23618,12990,10628,25980.0,2.0,online,45.0,2.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1889388,1,PanasWingChairInBoldYellowColour,35796,19999,15797,99995.0,5.0,online,44.13,5.0
5.0,Q4-20,1 Seater Sofas,Gujarat,1889387,1,PanasWingChairInVividOrangeColour,39375,19999,19376,59997.0,3.0,online,49.21,3.0
5.0,Q4-20,1 Seater Sofas,Haryana,1967345,1,TheBegumWingChairinBrownCoalColour,27995,20995,7000,83980.0,4.0,online,25.0,4.0
5.0,Q4-20,1 Seater Sofas,Himachal Pradesh,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,188955.0,9.0,online,25.0,9.0
5.0,Q4-20,1 Seater Sofas,Jammu & Kashmir,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,62985.0,3.0,online,25.0,3.0
5.0,Q4-20,1 Seater Sofas,Jharkhand,2031587,1,DianeSuedeVelvetWingChair,31399,23299,8100,139794.0,6.0,online,25.8,6.0
5.0,Q4-20,1 Seater Sofas,Jharkhand,2031564,1,DianeWingChairinBrownColour,31399,23299,8100,209691.0,9.0,online,25.8,9.0
5.0,Q4-20,1 Seater Sofas,Jharkhand,1889387,1,PanasWingChairInVividOrangeColour,39375,19999,19376,79996.0,4.0,online,49.21,4.0
5.0,Q4-20,1 Seater Sofas,Jharkhand,1889384,1,PanasWingChairInRoyalBlueColour,39375,19999,19376,179991.0,9.0,online,49.21,9.0
5.0,Q4-20,1 Seater Sofas,Karnataka,2031564,1,DianeWingChairinBrownColour,31399,23299,8100,23299.0,1.0,online,25.8,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1958598,1,ZodiacProHighBackErgonomicChairinWhite&GreyColour,23618,12990,10628,12990.0,1.0,online,45.0,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1889387,1,PanasWingChairInVividOrangeColour,39375,19999,19376,19999.0,1.0,online,49.21,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1857131,1,YoshiErgonomicChairInBlackColour,15999,12749,3250,12749.0,1.0,online,20.31,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,2016768,1,ZodiacProHighBackErgonomicChairinTealWhite,23990,12990,11000,51960.0,4.0,online,45.85,4.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1866839,1,JazzErgonomicChairinBlackColour,18999,11519,7480,46076.0,4.0,online,39.37,4.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1809032,1,LapeErgonomicChairinBrownColour,22999,13483,9516,121347.0,9.0,online,41.38,9.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1846854,1,WinchesterWingChairinBrownColour,35178,21299,13879,149093.0,7.0,online,39.45,7.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1889388,1,PanasWingChairInBoldYellowColour,35796,19999,15797,99995.0,5.0,online,44.13,5.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1951852,1,KimptonWingRoomChairinRedColour,28500,17699,10801,17699.0,1.0,online,37.9,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1470942,2,CeceliaWingChairinPurpleColour,23699,17399,6300,139192.0,8.0,online,26.58,4.0
5.0,Q4-20,1 Seater Sofas,Karnataka,2036937,2,RegentWingChairinVelvetTealBlueColour,36175,23999,12176,191992.0,8.0,online,33.66,4.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1889385,1,PanasWingChairInSeaGreenColour,39773,19999,19774,19999.0,1.0,online,49.72,1.0
5.0,Q4-20,1 Seater Sofas,Karnataka,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,41990.0,2.0,online,25.0,2.0
5.0,Q4-20,1 Seater Sofas,Kerala,1889388,1,PanasWingChairInBoldYellowColour,35796,19999,15797,99995.0,5.0,online,44.13,5.0
5.0,Q4-20,1 Seater Sofas,Kerala,2016768,2,ZodiacProHighBackErgonomicChairinTealWhite,23990,12990,11000,51960.0,4.0,online,45.85,2.0
5.0,Q4-20,1 Seater Sofas,Kerala,1866839,3,JazzErgonomicChairinBlackColour,18999,11519,7480,115190.0,10.0,online,39.37,3.33
5.0,Q4-20,1 Seater Sofas,Kerala,1889385,3,PanasWingChairInSeaGreenColour,39773,19999,19774,519974.0,26.0,online,49.72,8.67
5.0,Q4-20,1 Seater Sofas,Kerala,1951090,1,TheBegumWingChairinFloralSwirlsDesign,27995,20995,7000,20995.0,1.0,online,25.0,1.0
5.0,Q4-20,1 Seater Sofas,Kerala,1951852,1,KimptonWingRoomChairinRedColour,28500,17699,10801,176990.0,10.0,online,37.9,10.0
5.0,Q4-20,1 Seater Sofas,Kerala,2036937,1,RegentWingChairinVelvetTealBlueColour,36175,23999,12176,47998.0,2.0,online,33.66,2.0
5.0,Q4-20,1 Seater Sofas,Kerala,2030560,2,BradleyWingChairsinSeaGreenColour,26500,15199,11301,258383.0,17.0,online,42.65,8.5
5.0,Q4-20,1 Seater Sofas,Kerala,1846854,2,WinchesterWingChairinBrownColour,35178,21299,13879,127794.0,6.0,online,39.45,3.0
